question_code,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
T11,89,89,88,89,89,89,89,88,88,89,89,88,87,89,88,85,85,85,85,83,84,85,83,84,85,85,85,83,85,85,84,85,85,85,85,85,84,84,83,82,85,84,85,82,84,83,83,84,84,84,82,83,83,83,83,82,82,83,83,83
T12,90,90,88,90,90,90,90,89,89,90,88,90,88,89,89,86,86,86,86,84,85,86,84,85,86,86,86,84,86,86,85,86,86,86,86,86,85,85,84,83,86,85,86,83,85,84,84,85,85,85,83,84,84,84,84,83,83,84,84,84
T13,89,89,87,89,89,89,89,88,88,89,87,88,89,88,89,85,85,85,85,84,85,85,83,85,85,85,85,84,85,85,84,85,85,85,85,85,84,84,83,82,85,84,85,82,84,83,83,84,84,84,82,83,83,83,83,82,82,83,83,83
T14,90,90,89,90,90,90,90,89,89,90,89,89,88,90,89,86,86,86,86,84,85,86,84,85,86,86,86,84,86,86,85,86,86,86,86,86,85,85,84,83,86,85,86,83,85,84,84,85,85,85,83,84,84,84,84,83,83,84,84,84
T15,90,90,88,90,90,90,90,89,89,90,88,89,89,89,90,86,86,86,86,85,85,86,84,86,86,86,86,84,86,86,85,86,86,86,86,86,85,85,84,83,86,85,86,83,85,84,84,85,85,85,83,84,84,84,84,83,83,84,84,84
E01,87,87,85,87,87,87,87,86,86,87,85,86,85,86,86,87,87,87,87,85,86,87,85,86,87,87,87,85,87,87,86,87,87,87,87,87,86,86,85,84,87,86,87,84,86,85,85,86,86,86,84,85,85,85,85,84,84,85,85,85
E02,87,87,85,87,87,87,87,86,86,87,85,86,85,86,86,87,87,87,87,85,86,87,85,86,87,87,87,85,87,87,86,87,87,87,87,87,86,86,85,84,87,86,87,84,86,85,85,86,86,86,84,85,85,85,85,84,84,85,85,85
E03,87,87,85,87,87,87,87,86,86,87,85,86,85,86,86,87,87,87,87,85,86,87,85,86,87,87,87,85,87,87,86,87,87,87,87,87,86,86,85,84,87,86,87,84,86,85,85,86,86,86,84,85,85,85,85,84,84,85,85,85
E04,87,87,85,87,87,87,87,86,86,87,85,86,85,86,86,87,87,87,87,85,86,87,85,86,87,87,87,85,87,87,86,87,87,87,87,87,86,86,85,84,87,86,87,84,86,85,85,86,86,86,84,85,85,85,85,84,84,85,85,85
E05,85,85,83,85,85,85,85,84,84,85,83,84,84,84,85,85,85,85,85,85,84,85,83,85,85,85,85,83,85,85,84,85,85,85,85,85,84,84,83,82,85,84,85,82,84,83,83,84,84,84,82,83,83,83,83,82,83,83,83,83
